N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe,# Catégorie
0408.183.027,Comité scolaire Sainte-Alène,3 - Enseignement du jour OU du soir,"Institut Sainte-Alène  ""Ecole maternelle"" ","Avenue Kersbeek 130, 1190 Forest",29.86,167.28,C-,3
0864.212.788,INSTITUT SAINTE MARIE,3 - Enseignement du jour OU du soir,Institut Sainte-Marie,"Rue Emile Feron 5, 1060 Saint-Gilles",17.41,100.38,B-,3
0410.716.014,Institut Saint-Stanislas A.S.B.L.,3 - Enseignement du jour OU du soir,Institut Saint-Stanislas (fondamental et secondaire),"Avenue des Nerviens 115, 1040 Etterbeek",21.7,114.86,C+,3
0411.070.657,Institut St-Vincent de Paul - Uccle Forest - Secondaire,3 - Enseignement du jour OU du soir,Institut Saint-Vincent de Paul ,"Place Jean Vander Elst 25, 1180 Uccle",22.62,132.55,C,3
0414.474.367,Institut Saint-Boniface-Parnasse - A.S.B.L.,3 - Enseignement du jour OU du soir,Institut St-Boniface - Goffart,"Rue Goffart 47, 1050 Ixelles",20.31,101.78,B-,3
0696.977.167,Iriscare,1 - Services administratifs,Iriscare,"Rue Belliard 71, 1040 Bruxelles",43.8,265.78,C,1
0214.596.464,bpost,1 - Services administratifs,Ixelles Wery,"Rue Wéry 1, 1050 Ixelles",40.33,244.76,C,1
0949.383.342,Commission européenne,1 - Services administratifs,J-27,"Rue Joseph II 27, 1000 Bruxelles",41.37,254.94,C,1
0949.383.342,Commission européenne,1 - Services administratifs,J-30,"Rue Joseph II 30, 1000 Bruxelles",73.61,455.55,E+,1
0949.383.342,Commission européenne,1 - Services administratifs,J-54,"Rue Joseph II 54, 1000 Bruxelles",42.91,262.74,C,1
0949.383.342,Commission européenne,1 - Services administratifs,J-59,"Rue Joseph II 59, 1000 Bruxelles",48.32,295.71,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,J-70,"Rue Joseph II 70, 1000 Bruxelles",45.94,278.85,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,J-79,"Rue Joseph II 79, 1000 Bruxelles",49.12,303.4,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,J-99,"Rue Joseph II 99, 1000 Bruxelles",39.45,241.66,C,1
0308.357.753,Service public fédéral Justice,1 - Services administratifs,Jan Jacobs,"Boulevard de Waterloo 80, 1000 Bruxelles",45.75,278.82,C-,1
0207.372.637,AC Watermael-Boitsfort,3 - Enseignement du jour OU du soir,"JARDIN D'ENFANTS COMMUNAL ""COLIBRI"" ","Place du Colibri 1, 1170 Watermael-Boitsfort",43.51,246.49,E+,3
0207.372.637,AC Watermael-Boitsfort,3 - Enseignement du jour OU du soir,"JARDINS D'ENFANTS COMMUNAUX ""NAIADES""","Avenue des Naïades 21A, 1170 Watermael-Boitsfort",57.8,326.03,F,3
0214.596.464,bpost,1 - Services administratifs,Jette Ferdinand Lenoir,"Rue Ferdinand Lenoir 29, 1090 Jette",55.55,351.56,D,1
0811.322.648,FoCI,11 - Théatres et centres culturels,Kaaitheater,"Quai des Péniches 2, 1000 Bruxelles",32.39,190.82,C,11
0214.596.464,bpost,1 - Services administratifs,Koekelberg Carriere,"Rue de la Carrière 21, 1081 Koekelberg",82.09,476.47,E,1
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL De Kollebloem,"Rue Général Fivé 38, 1040 Etterbeek",27.15,160.88,B-,2
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL Harlekijntje,"Rue Jean Tiebackx 13, 1090 Jette",20.67,122.43,B,2
0478.379.452,SINT-GOEDELE BRUSSEL,2 - Crèches,KOL Scheutje,"Chaussée de Ninove 339, 1070 Anderlecht",20.68,122.24,B,2
0406.633.304,Provincialaat der Broeders van Liefde,3 - Enseignement du jour OU du soir,Koninklijk Instituut Woluwe ,"Avenue Georges Henri 278, 1200 Woluwe-Saint-Lambert",29.96,156.47,C-,3
0949.383.342,Commission européenne,1 - Services administratifs,L102,"Rue de la Loi 102, 1040 Bruxelles",37.34,224.64,C+,1
0949.383.342,Commission européenne,1 - Services administratifs,L130,"Rue de la Loi 130, 1040 Bruxelles",56.28,341.85,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,L-15,"Rue de la Loi 15, 1040 Bruxelles",46.24,284.07,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,L-41,"Rue de la Loi 41, 1040 Bruxelles",50.65,311.49,D+,1
0949.383.342,Commission européenne,1 - Services administratifs,L-56,"Rue de la Loi 56, 1040 Bruxelles",48.14,294.85,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,L-84-86,"Rue de la Loi 86, 1040 Bruxelles",62.31,379.15,D,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,11 - Théatres et centres culturels,la Jazz Station,"Chaussée de Louvain 193A, 1210 Saint-Josse-ten-Noode",20.6,120.71,B-,11
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",La Maison de la famille,"Rue de Liedekerke 112, 1210 Saint-Josse-ten-Noode",16.37,94.96,B+,8
0207.365.610,Administration communale d'Etterbeek,2 - Crèches,L'Angerie,"Avenue des Volontaires 128, 1040 Etterbeek",42.09,244.26,C,2
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,3 - Enseignement du jour OU du soir,La nouvelle école,"Place Saint-Josse 12, 1210 Saint-Josse-ten-Noode",34.14,198.86,D,3
0308.356.862,SPF Intérieur,1 - Services administratifs,"Laurentide - Conseil du Contentieux des Etrangers, Rue Gaucheret 92-94","Rue du Progrès 233, 1030 Schaerbeek",69.94,418.01,D-,1
0207.372.637,AC Watermael-Boitsfort,11 - Théatres et centres culturels,La Vènerie - Espace Delvaux,"Rue Gratès 3, 1170 Watermael-Boitsfort",32.87,176.21,C,11
0212.347.747,CPAS Molenbeek - Saint - Jean,1 - Services administratifs,Le centre,"Rue Alphonse Vandenpeereboom 14, 1080 Molenbeek-Saint-Jean",30.01,179.66,B-,1
0418.310.916,Les vraies richesses,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Les vraies richesses,"Rue de la Procession 24, 1070 Anderlecht",35.7,206.16,C+,8
0949.383.342,Commission européenne,1 - Services administratifs,LX40,"Rue du Luxembourg 40, 1000 Bruxelles",40.04,245.33,C,1
0949.383.342,Commission européenne,1 - Services administratifs,LX46/MO59,"Rue du Luxembourg 46, 1000 Bruxelles",37.82,229.51,C,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,4 - Enseignement du jour ET du soir,Lycée Guy Cudell,"Rue de Liedekerke 66, 1210 Saint-Josse-ten-Noode",24.02,137.18,C,4
0430.786.995,Centre scolaire Maria Assumpta,3 - Enseignement du jour OU du soir,Lycée Maria Assumpta,"Avenue Wannecouter 76, 1020 Bruxelles",20.45,94.72,B-,3
0949.383.342,Commission européenne,1 - Services administratifs,MADO,"Place Madou 1, 1210 Saint-Josse-ten-Noode",54.55,333.27,D+,1
0212.347.747,CPAS Molenbeek - Saint - Jean,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Maison d'accueil le relais,"Rue Vandenboogaerde 64, 1080 Molenbeek-Saint-Jean",38.35,218.8,C+,8
0422.949.692,Vrije Katholieke School Schaarbeek-Noord,3 - Enseignement du jour OU du soir,Mariaschool,"Rue Rubens 108, 1030 Schaerbeek",24.11,137.72,C,3
0949.383.342,Commission européenne,1 - Services administratifs,MO34,"Rue Montoyer 34, 1000 Bruxelles",60.44,372.47,D,1
0214.596.464,bpost,1 - Services administratifs,Molenbeek-Saint-Jean Osseghem,"Rue de la Mélopée 36, 1080 Molenbeek-Saint-Jean",64.59,326.84,D+,1
0214.596.464,bpost,1 - Services administratifs,Molenbeek-Saint-Jean Rue Dubois-Thorn ,"Rue Dubois-Thorn 2, 1080 Molenbeek-Saint-Jean",41.77,264.37,C,1
0416.862.349,Clinique Sanatia - Centre médico-social Sanatia,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",MSP,"Rue de Venise 50, 1050 Ixelles",57.19,319.6,C-,8
0416.862.349,Clinique Sanatia - Centre médico-social Sanatia,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",MSP,"Rue du Collège 45, 1050 Ixelles",38.56,226.96,C+,8
0949.383.342,Commission européenne,1 - Services administratifs,N105,"Avenue des Nerviens 105, 1040 Etterbeek",61.86,373.09,D,1
0308.357.159,SPF Finances,1 - Services administratifs,North Galaxy,"Boulevard du Roi Albert II 33, 1030 Schaerbeek",56.89,351.22,D,1
0206.737.484,L'Office national de l'emploi,1 - Services administratifs,Office national de l'emploi,"Chaussée de Charleroi 60, 1060 Saint-Gilles",23.87,145.53,B,1
0206.731.645,Office national de Sécurité sociale,1 - Services administratifs,Office National de Sécurité Sociale (ONSS),"Place Victor Horta 11, 1060 Saint-Gilles",41.07,251.74,C,1
0206.732.932,ONVA,1 - Services administratifs,Office National des Vacances Annuelles,"Rue Montagne aux Herbes Potagères 48, 1000 Bruxelles",36.07,215.64,C+,1
0240.682.635,Commission communautaire flamande,3 - Enseignement du jour OU du soir,Onderwijsinstelling Kasterlinden,"Rue de Grand-Bigard 434, 1082 Berchem-Sainte-Agathe",24.97,151.61,C-,3
0949.383.342,Commission européenne,1 - Services administratifs,ORBN,"Square Frère-Orban 8, 1040 Bruxelles",40.8,252.46,C,1
0865.537.829,SPP Politique scientifique,1 - Services administratifs,Oude Building Sociale Voorzorg,"Square de l'Aviation 31, 1070 Anderlecht",25.88,149.65,B,1
0895.408.978,Palais des Beaux-Arts de Bruxelles,11 - Théatres et centres culturels,Palais des Beaux-Arts,"Rue Ravenstein 23, 1000 Bruxelles",113.85,690.79,G,11
0949.383.342,Commission européenne,2 - Crèches,PALM,"Avenue Palmerston 6, 1000 Bruxelles",46.63,232.79,C,2
0850.012.483,Parlement de la Communauté française,1 - Services administratifs,Parlement de la Fédération Wallonie Bruxelles,"Rue Royale 72, 1000 Bruxelles",76.01,463.81,E,1
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Place de Louvain 12,"Place de Louvain 12, 1000 Bruxelles",31.67,182.64,B-,1
0949.383.342,Commission européenne,1 - Services administratifs,PLB3,"Rue Philippe Le Bon 1, 1000 Bruxelles",62.79,382.23,D-,1
"0208.312.646,0314.595.348","Régie Des Bâtiments,SPF Economie, PME, Classes moyennes et Energie",1 - Services administratifs,Régie des bâtiments,"Avenue de la Toison d'Or 87, 1060 Saint-Gilles",63.61,391.77,D-,1
0212.347.747,CPAS Molenbeek - Saint - Jean,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Résidence Arcadia,"Rue Ferdinand Elbers 20, 1080 Molenbeek-Saint-Jean",81.15,469.43,E+,8
0308.357.951,SPF Chancellerie du Premier Ministre,1 - Services administratifs,RESIDENCE PALACE,"Rue de la Loi 155, 1040 Bruxelles",38.5,232.29,C,1
0869.909.460,Police Fédérale,1 - Services administratifs,Rijksadministratief centrum,"Rue Royale 202A, 1000 Bruxelles",52.19,327.98,D+,1
"0458.880.274,0408.429.584","Haute Ecole Galilée - HEG,Odisee",5 - Enseignement supérieur,Rue Royale 336,"Rue Royale 336, 1030 Schaerbeek",31.23,188.73,C-,5
"0429.413.852,0214.596.464","Institut des Filles de Marie à Saint-Gilles,bpost",1 - Services administratifs,Saint-Gilles Barriere,"Rue Sterckx 5, 1060 Saint-Gilles",59.19,374.6,D,1
0214.596.464,bpost,1 - Services administratifs,Saint-Josse-Ten-Noode Place de Saint-Josse,"Rue de Bruyn 27, 1210 Saint-Josse-ten-Noode",85.17,503.14,E-,1
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,10 - Centres sportifs,Salle des Sports Nelson Mandela,"Rue Verte 50, 1210 Saint-Josse-ten-Noode",27.86,166.5,B,10
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,10 - Centres sportifs,Salle omnisports Guy Cudell,"Rue des Deux Eglises 107, 1210 Saint-Josse-ten-Noode",31.96,184.54,B-,10
0949.383.342,Commission européenne,1 - Services administratifs,SC11,"Rue de la Science 11, 1000 Bruxelles",49.97,304.1,C-,1
0214.596.464,bpost,1 - Services administratifs,Schaerbeek Rogier,"Avenue Rogier 162, 1030 Schaerbeek",37.41,222.35,C+,1
0214.596.464,bpost,1 - Services administratifs,Schaerbeek Sainte-Marie,"Rue Royale-Sainte-Marie 90, 1030 Schaerbeek",50.28,318.23,D+,1
0222.869.673,Sibelga,1 - Services administratifs,Sibelga,"Quai des Usines 16, 1000 Bruxelles",42.08,254.61,C,1
0236.916.956,Bruxelles Environnement,1 - Services administratifs,Siège de Tours et Taxis,"Avenue du Port 86C, 1000 Bruxelles",25.78,160.87,B-,1
0549.927.147,SILVA MEDICAL,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",SILVA medical,"Rue Ferdinand Elbers 24, 1080 Molenbeek-Saint-Jean",75.44,448.42,D-,8
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Guido-Instituut,"Place de Sainte-Adresse 12, 1070 Anderlecht",18.04,105.79,C+,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Guido-Instituut,"Avenue d'Itterbeek 550, 1070 Anderlecht",26.75,127.84,C,3
0207.202.193,COMMUNE DE SAINT-JOSSE-TEN-NOODE,3 - Enseignement du jour OU du soir,Sint-Joost-aan-zee gemeentelijke basisschool,"Rue de la Limite 67, 1210 Saint-Josse-ten-Noode",31.8,183.93,D+,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Jozefscollege & VBS Sint-Jozefscollege,"Boulevard de la Woluwe 18, 1150 Woluwe-Saint-Pierre",33.58,193.44,D,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Sint-Pieterscollege & VBS Sint-Pieterscollege,"Rue Léon Theodor 167, 1090 Jette",26.75,153.45,C-,3
0406.798.006,SMALS,1 - Services administratifs,SMALS,"Avenue Fonsny 20, 1060 Saint-Gilles",46.35,287.17,C-,1
0949.383.342,Commission européenne,1 - Services administratifs,SPA2,"Rue de Spa 2, 1000 Bruxelles",37.12,227.16,C+,1
0949.383.342,Commission européenne,1 - Services administratifs,SPA3,"Rue de Spa 3, 1000 Bruxelles",36.23,220.85,C+,1
0308.357.159,SPF Finances,1 - Services administratifs,"SPF Finances, Documentation Patrimoniale, Fin Shop Brussels","Rue du Biplan 126, 1130 Bruxelles",20.74,108.47,B+,1
"0415.332.917,0432.950.590,0461.464.731","Service de Santé Mentale sectorisé de St-Gilles,Collectif Formation Société asbl,Starting-Block asbl",4 - Enseignement du jour ET du soir,Starting Block,"Rue de la Victoire 26, 1060 Saint-Gilles",34.37,199.74,D+,4
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Théâtre jeune public BRONKS,"Rue du Marché aux Porcs 15, 1000 Bruxelles",41.26,247.86,D+,11
0214.596.464,bpost,1 - Services administratifs,Uccle Postillon,"Rue du Postillon 10, 1180 Uccle",64.92,393.81,D-,1
0214.596.464,bpost,1 - Services administratifs,Uccle Vanderkindere,"Rue Vanderkindere 171, 1180 Uccle",32.46,205.45,C+,1
0407.626.464,Université Libre de Bruxelles,5 - Enseignement supérieur,ULB : Campus de la Plaine,"Boulevard du Triomphe -, 1050 Ixelles",67.17,398.55,F,5
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS De Groene School,"Rue de la Floraison 41, 1070 Anderlecht",17.53,110.05,C+,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Heilig-Hart,"Avenue du Sacré-Coeur 6, 1090 Jette",15.15,89.76,B-,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Heilig-Hartcollege,"Avenue des Gloires Nationales 126, 1083 Ganshoren",26.44,152.48,C-,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Lutgardis,"Rue Général Fivé 84, 1040 Etterbeek",25.84,157.36,C-,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Albert / KOL De Hummeltjes,"Rue Haeck 61, 1080 Molenbeek-Saint-Jean",36.13,206.82,D,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Guido & VBS Sint-Pieter & Sint-Guido-Instituut,"Rue Docteur Jacobs 49, 1070 Anderlecht",22.4,130.82,C,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Jozef,"Rue Vandernoot 52, 1080 Molenbeek-Saint-Jean",18.36,106.04,C+,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Lutgardis,"Rue Jean De Greef 3, 1083 Ganshoren",28.28,161.99,C-,3
0414.400.430,Sint-Martinusschool,3 - Enseignement du jour OU du soir,VBS Sint-Martinus,"Rue Paloke 79, 1080 Molenbeek-Saint-Jean",40.53,181.03,D+,3
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,VBS Sint-Michiels,"Rue Léopold I 362, 1090 Jette",27.45,156.1,C-,3
0202.962.701,VIVAQUA,1 - Services administratifs,"VIVAQUA		","Boulevard de l'Impératrice 17, 1000 Bruxelles",50.51,306.66,D+,1
0224.771.467,VMW,1 - Services administratifs,Vlaamse Maatschappij voor Watervoorziening,"Rue du Progrès 189, 1030 Schaerbeek",44.23,270.37,C-,1
0811.322.648,FoCI,11 - Théatres et centres culturels,Vlaams-Nederlands Huis de Buren,"Rue Léopold 6, 1000 Bruxelles",21.13,122.14,B-,11
0949.383.342,Commission européenne,1 - Services administratifs,VM18,"Rue Van Maerlant 18, 1040 Bruxelles",62.61,382,D-,1
0949.383.342,Commission européenne,1 - Services administratifs,VM-2,"Rue Van Maerlant 2, 1040 Bruxelles",47.65,286.27,C-,1
0949.383.342,Commission européenne,2 - Crèches,WALI,"Boulevard Clovis 53, 1000 Bruxelles",33.52,200.25,C+,2
0308.357.753,Service public fédéral Justice,1 - Services administratifs,Waterside,"Quai de Willebroeck 33, 1000 Bruxelles",41.42,253.43,C,1
0214.596.464,bpost,1 - Services administratifs,Woluwe-Saint-Pierre Thielemans,"Avenue Charles Thielemans 22, 1150 Woluwe-Saint-Pierre",70.39,445.49,E+,1
