N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0678.485.603,Agence Bruxelloise pour l'accompagnement de l'entreprise SA,1 - Services administratifs,ABAE/BAOB,"Chaussée de Charleroi 110, 1060 Saint-Gilles",35.65,215.73,C+
0430.973.770,Ancienne Belgique,11 - Théatres et centres culturels,AB Ancienne Belgique,"Boulevard Anspach 110, 1000 Bruxelles",54.33,330.94,E+
0207.366.501,Commune de Molenbeek-Saint-Jean,4 - Enseignement du jour ET du soir,Academie de Dessin et des Arts visuels,"Rue Mommaerts 2A, 1080 Molenbeek-Saint-Jean",26.18,150.67,C
0207.365.709,Administration Communale d'Evere,1 - Services administratifs,Académie de musique,"Rue Edouard Stuckens 125, 1140 Evere",29.00,171.88,B-
0207.389.859,Commune de Woluwe-Saint-Lambert,4 - Enseignement du jour ET du soir,Académie de Woluwe-Saint-LambertADEMIE DE MUSIQUE DE WOLUWE-SAINT-LAMBERT,"Avenue des Deux Tilleuls 2A, 1200 Woluwe-Saint-Lambert",28.98,166.71,C-
0207.365.709,Administration Communale d'Evere,1 - Services administratifs,Action Sociale,"Rue de Paris 112A, 1140 Evere",63.29,364.98,D
0240.682.635,Commission communautaire flamande,1 - Services administratifs,Admin. Huis Leo II,"Boulevard Léopold II 178, 1080 Molenbeek-Saint-Jean",48.02,271.36,C-
0207.366.501,Commune de Molenbeek-Saint-Jean,1 - Services administratifs,Administration Communale de Molenbeek-Saint-Jean,"Rue du Comte de Flandre 20, 1080 Molenbeek-Saint-Jean",25.22,139.45,B
0212.347.450,CPAS d'Ixelles,1 - Services administratifs,Administration du service social,"Rue Jean Paquot 63B, 1050 Ixelles",45.30,262.42,C
0316.380.841,Ministère de la Communauté flamande,"13 - Ateliers, centres funéraires, dépôts, ...",Agence des routes et du trafic,"Avenue des Olympiades 10, 1140 Evere",33.44,194.89,C-
0723.708.783,Agence européenne de défense,1 - Services administratifs,Agence européenne de défense,"Rue des Drapiers 17, 1050 Ixelles",57.68,352.48,D
0206.734.318,Fedris,1 - Services administratifs,Agence fédérale des risques professionnels,"Avenue de l'Astronomie 1, 1210 Saint-Josse-ten-Noode",58.86,352.98,D
0207.389.859,Commune de Woluwe-Saint-Lambert,3 - Enseignement du jour OU du soir,Annexe Van Meyel - Verger (ex restaurant) ,"Avenue Georges Henri 251B, 1200 Woluwe-Saint-Lambert",53.87,302.63,F
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Bollen,"Rue Jan Bollen 33B, 1020 Bruxelles",37.25,215.28,C+
0212.346.955,CPAS de Bruxelles,2 - Crèches,Antenne sociale Marolles,"Rue Notre-Dame de Grâces 1, 1000 Bruxelles",60.69,357.53,D-
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Miroir,"Rue du Miroir 7, 1000 Bruxelles",43.19,248.94,C
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Moorslede,"Rue de Moorslede 56, 1020 Bruxelles",40.56,231.25,C
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale Stéphanie,"Rue Stéphanie 27, 1020 Bruxelles",33.84,198.46,C+
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,Antenne sociale St-Roch,"Chaussée d'Anvers 35, 1000 Bruxelles",54.57,327.31,D+
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Arenberg,"Rue d'Arenberg 5, 1000 Bruxelles",44.66,278.11,C-
"0872.234.193,0410.716.014","La Trap',Institut Saint-Stanislas A.S.B.L.",11 - Théatres et centres culturels,Atelier 210 et Institut Saint-Stanislas,"Chaussée Saint-Pierre 210, 1040 Etterbeek",29.73,132.22,B-
0207.365.610,Administration communale d'Etterbeek,"13 - Ateliers, centres funéraires, dépôts, ...",Atelier HAP/TOBY,"Rue Louis Hap 4, 1040 Etterbeek",84.36,488.91,G
0850.000.904,Athénée royal Gatti de Gamond,3 - Enseignement du jour OU du soir,Athénée Royal Gatti de Gamond 65,"Rue du Marais 65, 1000 Bruxelles",46.70,263.87,E
0850.000.904,Athénée royal Gatti de Gamond,3 - Enseignement du jour OU du soir,Athénée Royal Gatti de Gamond 68,"Rue du Marais 68, 1000 Bruxelles",35.62,167.24,C-
0544.279.965,Autorité des services et marchés financiers,1 - Services administratifs,Autorité des services et marchés financiers,"Rue du Congrès 12, 1000 Bruxelles",40.56,248.87,C
0212.346.955,CPAS de Bruxelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Aux Ursulines,"Rue des Ursulines 6, 1000 Bruxelles",43.53,255.19,C
0458.880.274,Haute Ecole Galilée - HEG,5 - Enseignement supérieur,Avenue d'Auderghem 77,"Avenue d'Auderghem 77, 1040 Etterbeek",29.81,176.64,C-
"0851.014.256,0858.344.981","Comité européen des régions,Comité économique et social européen",1 - Services administratifs,B68,"Rue Belliard 68, 1040 Bruxelles",52.71,325.75,D+
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique,"Boulevard de Berlaimont 3, 1000 Bruxelles",36.97,221.27,C+
0203.201.340,Banque Nationale de Belgique,1 - Services administratifs,Banque Nationale de Belgique ,"Boulevard de Berlaimont 14, 1000 Bruxelles",32.79,202.00,C+
0212.346.757,Centre Public d'Action Sociale de Berchem-Sainte-Agathe,1 - Services administratifs,Batiment Albert Laurent ,"Avenue de Selliers de Moranville 91, 1082 Berchem-Sainte-Agathe",71.95,413.74,D-
"0243.405.860,0316.380.841","Institut Belge des postes et télécommunications,Ministère de la Communauté flamande",1 - Services administratifs,Bâtiment Ellips,"Boulevard du Roi Albert II 35, 1030 Schaerbeek",67.77,418.29,D-
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Bâtiment Ferraris,"Boulevard du Roi Albert II 20, 1000 Bruxelles",36.83,226.62,C+
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Bâtiment La Source,"Drève du Duc 2, 1170 Watermael-Boitsfort",46.49,263.10,C
0236.916.956,Bruxelles Environnement,"13 - Ateliers, centres funéraires, dépôts, ...", Bâtiments techniques et administratifs,"Avenue du Parc de Woluwe 68, 1160 Auderghem",41.15,237.16,D
0207.389.859,Commune de Woluwe-Saint-Lambert,1 - Services administratifs,Bâtiment Tomberg 123,"Tomberg 123, 1200 Woluwe-Saint-Lambert",25.55,149.41,B
0949.383.342,Commission européenne,1 - Services administratifs,BERL,"Rue de la Loi 200, 1040 Bruxelles",68.94,425.50,E+
0207.366.501,Commune de Molenbeek-Saint-Jean,"12 - Musées, bibliothèques, médiathèques et services similaires",Bibliotheek - De Boekenmolen ,"Rue du Jardinier 47, 1080 Molenbeek-Saint-Jean",45.51,262.67,D
0207.365.610,Administration communale d'Etterbeek,"12 - Musées, bibliothèques, médiathèques et services similaires",Bibliothèque Hergé,"Avenue de la Chasse 211, 1040 Etterbeek",51.16,300.83,D-
0207.372.637,AC Watermael-Boitsfort,1 - Services administratifs,Bibliothèques / Centre administratif,"Rue des Trois Tilleuls 32, 1170 Watermael-Boitsfort",32.19,182.05,B-
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,BOTANIC,"Boulevard Saint-Lazare 8, 1210 Saint-Josse-ten-Noode",38.92,236.18,C
0949.383.342,Commission européenne,1 - Services administratifs,BRE2,"Avenue d'Auderghem 19, 1040 Bruxelles",46.92,289.18,C-
0949.383.342,Commission européenne,1 - Services administratifs,BREY,"Avenue d'Auderghem 45, 1040 Bruxelles",51.99,318.17,D+
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,BRUCEFO,"Boulevard Industriel 200, 1070 Anderlecht",64.52,386.04,D-
0252.168.920,Institut bruxellois francophone pour la Formation professionnelle (Franstalig Brussels Instituut voo,1 - Services administratifs,Bruxelles Formation,"Rue de Stalle 67, 1180 Uccle",47.39,288.75,C-
0240.682.635,Commission communautaire flamande,"13 - Ateliers, centres funéraires, dépôts, ...",BTC Loods,"Rue de la Technologie 19, 1082 Berchem-Sainte-Agathe",33.46,196.60,C-
0949.383.342,Commission européenne,1 - Services administratifs,BU-1-5-9,"Avenue de Beaulieu 1, 1160 Auderghem",60.03,364.07,D
0949.383.342,Commission européenne,1 - Services administratifs,BU24,"Avenue de Beaulieu 24, 1160 Auderghem",48.87,294.85,C-
0949.383.342,Commission européenne,1 - Services administratifs,BU25,"Avenue de Beaulieu 25, 1160 Auderghem",47.85,294.43,C-
0949.383.342,Commission européenne,1 - Services administratifs,BU29,"Avenue de Beaulieu 29, 1160 Auderghem",52.63,324.34,D+
0949.383.342,Commission européenne,1 - Services administratifs,BU31,"Avenue de Beaulieu 31, 1160 Auderghem",40.44,247.53,C
0949.383.342,Commission européenne,1 - Services administratifs,BU33,"Avenue de Beaulieu 33, 1160 Auderghem",58.40,361.68,D
"0851.014.256,0858.344.981","Comité européen des régions,Comité économique et social européen",1 - Services administratifs,BvS,"Rue Montoyer 92, 1000 Bruxelles",32.08,197.28,C+
0949.383.342,Commission européenne,1 - Services administratifs,C-25,"Avenue de Cortenbergh 25, 1040 Bruxelles",48.80,296.86,C-
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,Cabinet de la Secrétaire d'Etat Nawal Ben Hamou,"Boulevard du Régent 21, 1000 Bruxelles",46.42,284.03,C-
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,Cabinet du Ministre-Président Rudi Vervoort,"Rue Ducale 7, 1000 Bruxelles",46.02,269.81,C-
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,Cabinet du Ministre Sven Gatz/ Etages 8 à 10,"Avenue des Arts 9, 1210 Saint-Josse-ten-Noode",29.03,171.49,B-
0316.381.039,Service public régional de Bruxelles,1 - Services administratifs,Cabinet du Secrétaire d'Etat Pascal Smet/Zenith Etage 12,"Boulevard du Roi Albert II 37, 1030 Schaerbeek",59.11,363.63,D
0478.379.452,SINT-GOEDELE BRUSSEL,3 - Enseignement du jour OU du soir,Campus De Haven,"Rue de Molenbeek 173, 1020 Bruxelles",22.90,132.28,C
0478.379.452,SINT-GOEDELE BRUSSEL,4 - Enseignement du jour ET du soir,Campus SPOOR WEST,"Rue Verheyden 39, 1070 Anderlecht",23.21,134.40,C+
"0861.748.691,0456.686.490","Centre D'Accueil et de Traitement du Solbosch,L'Ambulatoire - Forest","8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",C.A.T.S. - Le Solbosch,"Chaussée d'Alsemberg 204, 1190 Forest",47.76,279.51,C
0430.941.504,C.B.B.D. - B.S.C.,"12 - Musées, bibliothèques, médiathèques et services similaires",CBBD-BCB,"Rue des Sables 20, 1000 Bruxelles",33.81,203.99,C-
0949.383.342,Commission européenne,1 - Services administratifs,CCAB,"Rue Froissart 36, 1040 Etterbeek",80.40,491.62,E
"0214.596.464,0316.381.039,0869.909.460","bpost,Service public régional de Bruxelles,Police Fédérale",1 - Services administratifs,CCN - Centre Communication Nord,"Rue du Progrès 80, 1030 Schaerbeek",48.54,298.76,C-
0949.383.342,Commission européenne,1 - Services administratifs,CDMA,"Rue du Champ de Mars 21, 1050 Ixelles",59.29,360.06,D
"0353.070.496,0308.358.149,0850.038.021,0208.312.646,0872.876.076,0367.303.762,0306.562.560,0206.492.907,0895.408.978,0367.303.366,0367.302.574,0314.595.348,0308.357.852,0456.019.566,0308.357.159","IRSNB,SPF Affaires étrangères, Commerce extérieur et Coopération au Développement,Institut national de Criminalistique et de Criminologie,Régie Des Bâtiments,KCE,SPF Santé publique, Sécurité de la Chaîne alimentaire et Environnement,Musée Royal de l'Afrique Centrale,Théatre Royal de la Monnaie,Palais des Beaux-Arts de Bruxelles,SPF Sécurité sociale,SPF Budget et Contrôle de la gestion ,SPF Economie, PME, Classes moyennes et Energie,SPF Mobilité et Transports,Centre d'Archives et de Recherches pour l'Histoire des Femmes,SPF Finances",1 - Services administratifs,Centre Administratif Botanique,"Boulevard du Jardin Botanique 50, 1000 Bruxelles",30.29,187.53,B-
0941.792.893,Hôpital Erasme,1 - Services administratifs,Centre Administratif Hospitalier (CAH),"Avenue Joseph Wybran 40, 1070 Anderlecht",44.24,260.38,C
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de jeunesse Alleman,"Avenue de la Sablière 2, 1160 Auderghem",26.74,158.38,C+
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de Jeunesse Aximax,"Rue John Waterloo Wilson 19, 1000 Bruxelles",49.19,280.24,D
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de Jeunesse 'Centrum West',"Rue de Menin 24, 1080 Molenbeek-Saint-Jean",34.09,192.23,C
0240.682.635,Commission communautaire flamande,11 - Théatres et centres culturels,Centre de jeunesse Vereniging voor Marokkaanse Jongeren,"Rue de la Vermicellerie 10, 1080 Molenbeek-Saint-Jean",36.22,204.82,C-
0207.366.501,Commune de Molenbeek-Saint-Jean,6 - Hôpitaux,Centre de Promotion de la Santé à l'école ,"Rue Vandermaelen 26, 1080 Molenbeek-Saint-Jean",43.92,249.43,C+
0941.792.893,Hôpital Erasme,6 - Hôpitaux,Centre de traumatologie et de réadaptation (CTR),"Place Arthur Van Gehuchten 4, 1020 Bruxelles",58.60,350.22,C-
0887.937.406,Centre Hospitalier Valida,6 - Hôpitaux,Centre Hospitalier Valida,"Avenue Josse Goffin 180, 1082 Berchem-Sainte-Agathe",80.59,478.19,D
"0214.596.464,0207.373.429","bpost,Ville de Bruxelles",1 - Services administratifs,Centre Monnaie,"Boulevard Anspach 6, 1000 Bruxelles",57.83,352.22,D
0416.288.465,Centre Scolaire de Ma Campagne asbl,3 - Enseignement du jour OU du soir,Centre Scolaire de Ma Campagne,"Rue Africaine 36, 1060 Saint-Gilles",14.35,83.09,B
0436.401.218,Centre Scolaire Don Bosco,3 - Enseignement du jour OU du soir,Centre Scolaire Don Bosco - Val d'Or,"Avenue du Val d'Or 90, 1150 Woluwe-Saint-Pierre",8.13,13.02,A
0414.213.952,Centre scolaire du Sacré-Coeur de Jette - asbl,3 - Enseignement du jour OU du soir,Centre Scolaire du Sacré-Coeur de Jette,"Avenue du Sacré-Coeur 8, 1090 Jette",18.99,104.04,B-
0430.786.995,Centre scolaire Maria Assumpta,3 - Enseignement du jour OU du soir,Centre Scolaire Maria Assumpta,"Avenue Wannecouter 115, 1020 Bruxelles",18.94,109.44,C+
0414.872.166,Centre d'Enseignement Notre-Dame des Champs asbl,3 - Enseignement du jour OU du soir,Centre Scolaire Notre-Dame des Champs,"Rue Edith Cavell 143, 1180 Uccle",18.70,90.81,B-
0949.383.342,Commission européenne,1 - Services administratifs,CHAR,"Rue de la Loi 170, 1040 Bruxelles",51.94,319.43,D+
0207.366.501,Commune de Molenbeek-Saint-Jean,11 - Théatres et centres culturels,Château du Karreveld,"Avenue Jean de la Hoese 3, 1080 Molenbeek-Saint-Jean",71.82,413.15,F
0207.389.859,Commune de Woluwe-Saint-Lambert,11 - Théatres et centres culturels,Château Malou,"Allée Pierre Levie 1, 1200 Woluwe-Saint-Lambert",16.14,95.36,B
0308.357.852,SPF Mobilité et Transports,1 - Services administratifs,"City Atrium A, B","Rue du Progrès 56, 1210 Saint-Josse-ten-Noode",53.94,331.24,D+
0314.595.348,"SPF Economie, PME, Classes moyennes et Energie",1 - Services administratifs,City Atrium C,"Rue du Progrès 50, 1210 Saint-Josse-ten-Noode",40.37,246.21,C
"0316.381.039,0220.916.609","Service public régional de Bruxelles,Communauté française",1 - Services administratifs,City Center Offices,"Boulevard du Jardin Botanique 20, 1000 Bruxelles",41.91,255.98,C
0215.984.554,Société de Développement pour la Région de Bruxelles-Capitale,1 - Services administratifs,citydev.brussels,"Rue Gabrielle Petit 6, 1080 Molenbeek-Saint-Jean",31.59,186.83,B-
"0409.890.128,0476.058.479","Clinique Saint-Jean,CEBIODI ASBL",6 - Hôpitaux,Clinique Saint-Jean (Botanique),"Boulevard du Jardin Botanique 32, 1000 Bruxelles",95.46,577.04,E
"0476.058.479,0409.890.128,0416.862.349","CEBIODI ASBL,Clinique Saint-Jean,Clinique Sanatia - Centre médico-social Sanatia",6 - Hôpitaux,Clinique Saint-Jean (Méridien),"Rue du Méridien 100, 1210 Saint-Josse-ten-Noode",63.29,368.41,C-
0416.885.016,Cliniques universitaires Saint-Luc,6 - Hôpitaux,Cliniques universitaires Saint-Luc asbl,"Avenue Hippocrate 10, 1200 Woluwe-Saint-Lambert",123.49,750.47,F
0949.383.342,Commission européenne,2 - Crèches,CLOV/WILS,"Boulevard Clovis 75, 1000 Bruxelles",37.32,226.07,C
0443.638.012,Maison diocésaine de l'enseignement : CoDiEC Bxl-BW,1 - Services administratifs,Codiec BxL-BW,"Avenue de l'Eglise Saint-Julien 15, 1160 Auderghem",21.72,123.81,B
0949.383.342,Commission européenne,2 - Crèches,COLE,"Rue Général Leman 60, 1040 Etterbeek",52.46,310.84,D+
0422.143.307,La Fraternité ,3 - Enseignement du jour OU du soir,Collège de la fraternité,"Rue Drootbeek 2, 1020 Bruxelles",24.53,140.26,C
0412.732.228,Centre d'Enseignement Catholique Robert et Laure Brunner A.S.B.L.,3 - Enseignement du jour OU du soir,Collège Roi Baudoin ETP (Site Diamant),"Avenue de l'Emeraude 7, 1030 Schaerbeek",18.71,106.86,C+
0412.732.228,Centre d'Enseignement Catholique Robert et Laure Brunner A.S.B.L.,3 - Enseignement du jour OU du soir,Collège Roi Baudoin ETP (Site Milcamps),"Avenue Milcamps 181, 1030 Schaerbeek",22.60,126.39,C
0428.402.181,Collège Saint Vincent - Saint François,3 - Enseignement du jour OU du soir,Collège Saint-François,"Rue des Mérisiers 7, 1050 Ixelles",24.60,113.45,C+
0414.397.361,Comité scolaire Providence - asbl,3 - Enseignement du jour OU du soir,Comité Scolaire Providence (Déportés),"Rue des Déportés 38, 1200 Woluwe-Saint-Lambert",34.64,152.13,C-
0414.397.361,Comité scolaire Providence - asbl,3 - Enseignement du jour OU du soir,Comité Scolaire Providence (Stockel),"Chaussée de Stockel 28, 1200 Woluwe-Saint-Lambert",30.97,182.90,D+
0408.142.643,Comité Scolaire Saint-Denis à Forest,3 - Enseignement du jour OU du soir,Comité Scolaire Saint-Denis,"Chaussée de Bruxelles 217, 1190 Forest",18.93,107.51,C+
0212.347.450,CPAS d'Ixelles,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",Complexe de bâtiments : Administration et Hébergement,"Chaussée de Boondael 94, 1050 Ixelles",43.04,249.80,C
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Complexe Place des Martyrs Nord,"Rue aux Choux 35, 1000 Bruxelles",36.83,220.75,C+
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Complexe Place des Martyrs Sud,"Place des Martyrs 7, 1000 Bruxelles",34.73,209.62,C+
0207.541.594,ADMINISTRATION COMMUNALE DE BERCHEM-SAINTE-AGATHE,10 - Centres sportifs,Complexe sportif,"Rue des Châlets 1, 1082 Berchem-Sainte-Agathe",54.23,272.43,C
0207.365.709,Administration Communale d'Evere,10 - Centres sportifs,Complexe sportif Salle François Guillaume,"Avenue des Anciens Combattants 300, 1140 Evere",48.68,283.26,C
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Conscience,"Boulevard du Roi Albert II 15, 1210 Saint-Josse-ten-Noode",35.64,218.14,C+
0253.777.437,Conseil economique et Social de la Région de Bruxelles-Capitale,1 - Services administratifs,Conseil Economique et Social de la Région Bruxelles-Capital,"Boulevard Bischoffsheim 26, 1000 Bruxelles",32.46,190.04,B-
0949.383.342,Commission européenne,1 - Services administratifs,COVE/COV2,"Place Charles Rogier 16, 1210 Saint-Josse-ten-Noode",54.89,334.35,D+
0212.346.955,CPAS de Bruxelles,1 - Services administratifs,CPAS de Bruxelles - Département des Travaux,"Rue Joseph Stevens 7, 1000 Bruxelles",39.70,239.18,C
0941.792.893,Hôpital Erasme,2 - Crèches,Crèche 1 (Hôpital Erasme),"Route de Lennik 808, 1070 Anderlecht",43.09,241.73,C
0941.792.893,Hôpital Erasme,2 - Crèches,Crèche 2 (Hôpital Erasme),"Route de Lennik 806, 1070 Anderlecht",48.12,274.01,C-
0207.365.709,Administration Communale d'Evere,2 - Crèches,Crèche Atis-Watis,"Chemin du Jutland 2, 1140 Evere",34.51,218.42,C
0207.372.637,AC Watermael-Boitsfort,2 - Crèches,Crèche Gilson,"Chaussée de La Hulpe 342, 1170 Watermael-Boitsfort",62.30,350.16,D
0207.389.859,Commune de Woluwe-Saint-Lambert,2 - Crèches,Crèche Prince Baudouin,"Avenue du Couronnement 59, 1200 Woluwe-Saint-Lambert",30.27,174.32,B-
0207.389.859,Commune de Woluwe-Saint-Lambert,2 - Crèches,Crèche Princesse Paola,"Chaussée de Roodebeek 280, 1200 Woluwe-Saint-Lambert",29.23,169.77,B-
0207.366.501,Commune de Molenbeek-Saint-Jean,2 - Crèches,Crèche Reine Fabiola ,"Avenue Jean Dubrucq 90, 1080 Molenbeek-Saint-Jean",68.71,392.09,E+
0207.365.709,Administration Communale d'Evere,2 - Crèches,Crèche Ronde-Fleurie,"Avenue des Anciens Combattants 250, 1140 Evere",37.72,215.72,C
0207.389.859,Commune de Woluwe-Saint-Lambert,2 - Crèches,Crèche Saint-Lambert,"Mont Saint-Lambert 2, 1200 Woluwe-Saint-Lambert",46.94,271.21,C-
0207.389.859,Commune de Woluwe-Saint-Lambert,2 - Crèches,Crèche Sarah Goldberg,"Avenue de Toutes les Couleurs 17, 1200 Woluwe-Saint-Lambert",35.06,209.08,C+
0548.895.779,Centre interfédéral pour l'égalité des chances et la lutte contre le racisme et les discriminations,1 - Services administratifs,Crown Center,"Rue Royale 138, 1000 Bruxelles",28.11,152.14,B
0414.872.166,Centre d'Enseignement Notre-Dame des Champs asbl,10 - Centres sportifs,C.S. Notre-Dame des Champs : Hall des sports ,"Rue Zeecrabbe 24, 1180 Uccle",23.42,104.23,B+
0409.384.540,Centre Scolaire Saint-Adrien - Val Duchesse  asbl,3 - Enseignement du jour OU du soir,C.S. St-Adrien - Schoolgat,"Rue Schoolgat 5, 1050 Ixelles",15.52,87.63,B-
0409.384.540,Centre Scolaire Saint-Adrien - Val Duchesse  asbl,3 - Enseignement du jour OU du soir,C.S. St-Adrien Val-Duchesse,"Boulevard du Souverain 201, 1160 Auderghem",13.75,78.69,B
0416.885.016,Cliniques universitaires Saint-Luc,2 - Crèches,"CUSL - Crèche ""Les Coccinelles""","Square Joseph Hanse 1, 1200 Woluwe-Saint-Lambert",18.90,119.61,B
0416.885.016,Cliniques universitaires Saint-Luc,5 - Enseignement supérieur,CUSL - ESP,"Clos Chapelle-aux-Champs 30, 1200 Woluwe-Saint-Lambert",33.21,197.32,D+
0416.885.016,Cliniques universitaires Saint-Luc,7 - Centres de santé et services similaires,CUSL - La Résidence,"Place Jean-Baptiste Carnoy 16, 1200 Woluwe-Saint-Lambert",33.02,195.12,C+
0416.885.016,Cliniques universitaires Saint-Luc,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",CUSL - Le Roseau,"Place Jean-Baptiste Carnoy 12, 1200 Woluwe-Saint-Lambert",48.63,278.13,C
0949.383.342,Commission européenne,"13 - Ateliers, centres funéraires, dépôts, ...",DAV1,"Avenue du Bourget 1, 1140 Evere",51.60,315.23,E
"0308.356.862,0314.595.348,0865.537.829","SPF Intérieur,SPF Economie, PME, Classes moyennes et Energie,SPP Politique scientifique","13 - Ateliers, centres funéraires, dépôts, ...",Depot Demets,"Quai Fernand Demets 7, 1070 Anderlecht",0.23,1.48,A
0949.383.342,Commission européenne,1 - Services administratifs,DM24,"Rue Demot 24, 1040 Etterbeek",47.23,288.95,C-
0949.383.342,Commission européenne,1 - Services administratifs,DM28,"Rue Demot 28, 1040 Etterbeek",49.60,298.98,C-
